home            首页
qualification   教师资格证
Recruitment     教师招聘
Viewdetalis     教师资格详情
commoditybuy    商品详情提交订单
commoditygoods  商品详情收货信息
commoditypay    选择支付方式
login           登录
Register        注册
Retrieve        找回密码
CourseDetails   课程详情
Notice          公告详情
Noticelist      公告列表
paySuccess      购买成功
personal        个人中心我的课程
userData        个人中心修个人资料
userCode        个人中心修改密码
userCoupon      个人中心我的优惠券
userOrder       个人中心我的订单
userLogistics   个人中心物流信息
userAddress     个人中心收货地址
userAddresss    个人中心修改收货地址
userlist        移动-个人中心
m-Logisticlist  移动-个人中心我的订单
m-userAddress   移动-收货地址
m-userAddresss  移动-修改收货地址
m-userCode      移动-修改密码
about           关于我们
